action1,action2,benchmark_count,record_count,avg_speedup_vs_action2,min_speedup_vs_action2,max_speedup_vs_action2
function(infer-address-spaces),function(add-discriminators),24,24,0.088372070,0.014655332,0.177328559
function(expand-fp),function(expand-fp),24,24,0.088348995,0.016031756,0.279034207
function(objc-arc-contract),function(speculative-execution),24,24,0.088318970,0.011803722,0.226914294
function(lower-invoke),function(newgvn),24,24,0.088312232,0.012766677,0.190354490
cross-dso-cfi,function(hardware-loops),24,24,0.088302768,0.011223414,0.214274723
function(partially-inline-libcalls),function(nary-reassociate),24,24,0.088245536,0.013431101,0.223177615
function(loop(guard-widening)),function(win-eh-prepare),24,24,0.088241268,0.010284977,0.218496472
function(loop(loop-rotate)),function(sandbox-vectorizer),24,24,0.088229261,0.014121013,0.284530987
module-inline,function(expand-fp),24,24,0.088175579,0.013630494,0.260031025
function(simplifycfg),function(loop(loop-simplifycfg)),24,24,0.088091896,0.010060133,0.230124291
function(loop(loop-predication)),function(loop(loop-rotate)),24,24,0.088090339,0.011076660,0.160477583
shadow-stack-gc-lowering,function(gvn),24,24,0.088073025,0.012404702,0.195157621
function(unify-loop-exits),function(lower-matrix-intrinsics),24,24,0.088064443,0.010176754,0.173253735
function(nary-reassociate),function(nary-reassociate),24,24,0.088052094,0.010846310,0.231482551
function(consthoist),function(safe-stack),24,24,0.088029639,0.018250174,0.219637799
function(wasm-eh-prepare),function(simplifycfg),24,24,0.087996995,0.021048891,0.238722117
function(instsimplify),function(structurizecfg),24,24,0.087958112,0.012778309,0.213043786
coro-early,function(speculative-execution),24,24,0.087929429,0.011229222,0.225101075
function(assume-builder),function(loop(loop-simplifycfg)),24,24,0.087889780,0.012512597,0.294423335
hotcoldsplit,name-anon-globals,24,24,0.087886933,0.011589302,0.217402186
function(loop-simplify),function(loop-vectorize),24,24,0.087857417,0.010260691,0.242533229
wholeprogramdevirt,function(scalarizer),24,24,0.087857315,0.016276935,0.215978922
function(lower-invoke),function(sjlj-eh-prepare),24,24,0.087855903,0.019528215,0.207940268
function(div-rem-pairs),function(lower-widenable-condition),24,24,0.087837914,0.012318888,0.281183194
function(loop(simple-loop-unswitch)),function(make-guards-explicit),24,24,0.087812700,0.010333342,0.218333354
function(interleaved-load-combine),function(loop(loop-bound-split)),24,24,0.087811301,0.010103411,0.319782632
function(adce),function(speculative-execution),24,24,0.087802603,0.022241062,0.203866150
function(jump-threading),function(gvn),24,24,0.087700277,0.012749520,0.219920487
function(newgvn),function(speculative-execution),24,24,0.087685711,0.011968828,0.221860898
function(instcombine),function(instcombine),24,24,0.087673686,0.015883727,0.192653283
function(loop(evl-iv-simplify)),function(mldst-motion),24,24,0.087589086,0.011859788,0.182647432
function(jump-table-to-switch),function(sroa),24,24,0.087562807,0.010088056,0.206495304
function(loop(loop-simplifycfg)),function(loop(loop-simplifycfg)),24,24,0.087557305,0.016887608,0.265432426
function(newgvn),function(loop-load-elim),24,24,0.087545721,0.013296385,0.249355992
function(sink),function(loop-unroll),24,24,0.087533032,0.014172305,0.217528948
function(move-auto-init),function(replace-with-veclib),24,24,0.087513722,0.015185882,0.268371626
loop-extract,function(adce),24,24,0.087507131,0.011921570,0.234740160
inliner-wrapper-no-mandatory-first,function(loop(simple-loop-unswitch)),24,24,0.087497307,0.010648711,0.220038700
function(annotation-remarks),function(loop(simple-loop-unswitch)),24,24,0.087495081,0.011641366,0.213990794
globalopt,function(newgvn),24,24,0.087457928,0.013154915,0.238280492
function(slp-vectorizer),function(jump-threading),24,24,0.087423956,0.010527926,0.254872178
function(lcssa),function(win-eh-prepare),24,24,0.087417208,0.012329430,0.236599415
function(correlated-propagation),function(sjlj-eh-prepare),24,24,0.087413390,0.010864437,0.262429321
function(strip-gc-relocates),function(mldst-motion),24,24,0.087398305,0.013337584,0.209370859
function(interleaved-load-combine),function(win-eh-prepare),24,24,0.087393013,0.014503774,0.221332049
function(loop(loop-instsimplify)),function(loop-simplify),24,24,0.087380482,0.011072964,0.302010383
function(dce),function(lower-widenable-condition),24,24,0.087341606,0.010219678,0.247004017
function(loop-sink),function(nary-reassociate),24,24,0.087312311,0.011444783,0.245239275
cgscc(coro-split),function(loop(loop-rotate)),24,24,0.087296340,0.019948741,0.210429076
fatlto-cleanup,function(sccp),24,24,0.087277838,0.012078869,0.198447815
function(loop(loop-predication)),function(nary-reassociate),24,24,0.087269144,0.013620755,0.260809742
function(callsite-splitting),function(newgvn),24,24,0.087267527,0.010294690,0.204875578
cgscc(coro-annotation-elide),function(loop-load-elim),24,24,0.087255111,0.011257455,0.295233008
function(inject-tli-mappings),function(hardware-loops),24,24,0.087241393,0.012221094,0.188961226
strip-nonlinetable-debuginfo,function(gvn),24,24,0.087236558,0.012468092,0.211081551
strip-debug-declare,function(instcombine),24,24,0.087179107,0.010179534,0.201034048
function(loop(loop-term-fold)),function(gvn),24,24,0.087143241,0.010997864,0.179798794
function(infer-alignment),function(speculative-execution),24,24,0.087140846,0.014554793,0.180299397
function(vector-combine),function(instcombine),24,24,0.087125662,0.016167742,0.196170766
cross-dso-cfi,function(slsr),24,24,0.087120639,0.011475995,0.219409733
canonicalize-aliases,function(expand-fp),24,24,0.087088357,0.014787618,0.260452820
function(vector-combine),function(mldst-motion),24,24,0.087077077,0.014866667,0.213805611
function(mergeicmps),function(slsr),24,24,0.087073982,0.011894053,0.216949991
function(kcfi),function(speculative-execution),24,24,0.087021981,0.017343333,0.164506725
function(partially-inline-libcalls),function(speculative-execution),24,24,0.087004682,0.011577574,0.186565779
function(infer-address-spaces),function(simplifycfg),24,24,0.087002737,0.014093625,0.177620469
function(tailcallelim),function(simplifycfg),24,24,0.086977054,0.013805180,0.190270419
canonicalize-aliases,function(safe-stack),24,24,0.086923353,0.010712431,0.242022477
function(constraint-elimination),function(loop(loop-unroll-full)),24,24,0.086902133,0.010361663,0.267657351
function(place-safepoints),function(gvn),24,24,0.086895568,0.015603597,0.196330615
global-merge-func,function(slp-vectorizer),24,24,0.086881237,0.013237858,0.195518788
hipstdpar-math-fixup,function(expand-fp),24,24,0.086853747,0.010807468,0.216774969
function(mergereturn),function(sandbox-vectorizer),24,24,0.086844097,0.011554356,0.226615437
assign-guid,function(expand-fp),24,24,0.086823144,0.010395349,0.195069219
function(loop(loop-instsimplify)),function(sandbox-vectorizer),24,24,0.086822689,0.011017719,0.243590510
function(mergeicmps),function(loop-simplify),24,24,0.086794654,0.021046785,0.277326832
function(nary-reassociate),function(lower-atomic),24,24,0.086792029,0.012560681,0.226610942
function(speculative-execution),function(slsr),24,24,0.086771914,0.010933133,0.251329850
function(add-discriminators),function(place-safepoints),24,24,0.086759193,0.012311749,0.292093257
function(expand-memcmp),function(win-eh-prepare),24,24,0.086713957,0.014228051,0.235778101
rpo-function-attrs,function(loop(simple-loop-unswitch)),24,24,0.086713782,0.012405028,0.207721055
function(sccp),function(gvn),24,24,0.086691773,0.015139803,0.221896680
function(mergereturn),function(tailcallelim),24,24,0.086691226,0.011178164,0.244592157
ipsccp,function(structurizecfg),24,24,0.086655254,0.014221604,0.198934042
function(safe-stack),function(loop(extra-simple-loop-unswitch-passes)),24,24,0.086641249,0.020606285,0.224415112
rewrite-statepoints-for-gc,function(speculative-execution),24,24,0.086610366,0.017667966,0.175282816
mergefunc,function(tailcallelim),24,24,0.086607913,0.011200119,0.242395022
strip-debug-declare,function(loop-simplify),24,24,0.086604209,0.010000470,0.262601503
function(coro-elide),function(early-cse),24,24,0.086587708,0.014423261,0.221681069
embed-bitcode,function(nary-reassociate),24,24,0.086577402,0.011640196,0.248085539
coro-cleanup,function(slp-vectorizer),24,24,0.086574301,0.020424122,0.219111325
rewrite-statepoints-for-gc,function(simplifycfg),24,24,0.086540304,0.013178110,0.195345744
function(typepromotion),function(loop(extra-simple-loop-unswitch-passes)),24,24,0.086527365,0.011978954,0.243790427
function(complex-deinterleaving),function(gvn),24,24,0.086527235,0.011495981,0.175446509
function(lower-matrix-intrinsics),lowertypetests,24,24,0.086511206,0.010646260,0.260500521
openmp-opt,function(loop-vectorize),24,24,0.086504960,0.010833231,0.227691330
function(unreachableblockelim),function(slp-vectorizer),24,24,0.086504709,0.013668316,0.253823831
deadargelim,function(lower-atomic),24,24,0.086487484,0.011646122,0.231486492
function(infer-address-spaces),function(slsr),24,24,0.086480328,0.013882015,0.189494874
name-anon-globals,function(replace-with-veclib),24,24,0.086448863,0.011554564,0.307565240
function(interleaved-load-combine),function(mldst-motion),24,24,0.086424540,0.012417624,0.194402978
function(kernel-info),function(loop(extra-simple-loop-unswitch-passes)),24,24,0.086419510,0.012222683,0.249538949
function(libcalls-shrinkwrap),function(safe-stack),24,24,0.086400957,0.014258127,0.297501213
function(newgvn),function(loop-simplify),24,24,0.086372642,0.010627246,0.235072312
hipstdpar-math-fixup,function(newgvn),24,24,0.086301433,0.020106591,0.205392932
forceattrs,function(loop-vectorize),24,24,0.086299810,0.010180507,0.212871919
function(dwarf-eh-prepare),function(newgvn),24,24,0.086282489,0.012048845,0.197498025
function(adce),function(safe-stack),24,24,0.086276751,0.010234308,0.245500225
function(kcfi),function(strip-gc-relocates),24,24,0.086246706,0.010751154,0.195593894
openmp-opt-postlink,function(mldst-motion),24,24,0.086233976,0.010696743,0.194788698
dxil-upgrade,function(loop-load-elim),24,24,0.086210490,0.010892472,0.271867632
rewrite-statepoints-for-gc,function(loop(loop-rotate)),24,24,0.086192513,0.014366539,0.215999875
function(float2int),function(newgvn),24,24,0.086176369,0.019658619,0.191550054
shadow-stack-gc-lowering,function(scalarizer),24,24,0.086173027,0.010543611,0.181249781
function(infer-address-spaces),lowertypetests,24,24,0.086162609,0.013660593,0.272906013
function(jump-table-to-switch),function(loop-unroll),24,24,0.086081935,0.010066145,0.190272260
embed-bitcode,function(loop-load-elim),24,24,0.086073846,0.011083788,0.247495804
function(aggressive-instcombine),function(redundant-dbg-inst-elim),24,24,0.086061171,0.012994752,0.233677269
function(correlated-propagation),function(lower-widenable-condition),24,24,0.086055359,0.012663395,0.281213021
strip-dead-cg-profile,function(loop-simplify),24,24,0.086050578,0.010061750,0.290268798
function(loop-vectorize),lowertypetests,24,24,0.086011375,0.014022320,0.255655415
loop-extract,function(place-safepoints),24,24,0.085941739,0.010590056,0.274819726
openmp-opt,function(sink),24,24,0.085933736,0.010364509,0.239735700
hotcoldsplit,function(expand-fp),24,24,0.085894826,0.012103276,0.273264283
function(objc-arc),function(lower-atomic),24,24,0.085882630,0.013071898,0.213542515
function(sccp),function(loop-unroll),24,24,0.085879419,0.012010181,0.252448010
function(loop(loop-unroll-full)),function(gvn),24,24,0.085844047,0.011468248,0.194614370
function(assume-builder),function(safe-stack),24,24,0.085843874,0.012881280,0.248239063
function(extra-vector-passes),function(speculative-execution),24,24,0.085825789,0.013737924,0.218863858
hotcoldsplit,function(sccp),24,24,0.085823655,0.016552343,0.194834962
function(unreachableblockelim),function(lower-widenable-condition),24,24,0.085818451,0.015739626,0.229618885
ctx-prof-flatten,function(scalarizer),24,24,0.085752287,0.016798872,0.171008469
function(declare-to-assign),function(sandbox-vectorizer),24,24,0.085746160,0.018037500,0.195095271
function(fix-irreducible),function(lower-atomic),24,24,0.085738059,0.011108508,0.224192296
pre-isel-intrinsic-lowering,function(loop-simplify),24,24,0.085617879,0.013478785,0.310300625
dxil-upgrade,function(kcfi),24,24,0.085587113,0.014997704,0.285172953
simplify-type-tests,function(make-guards-explicit),24,24,0.085577701,0.012815853,0.210549295
function(loop(loop-unroll-full)),function(lower-atomic),24,24,0.085563478,0.011420829,0.222922362
function(mldst-motion),function(loop(loop-rotate)),24,24,0.085535535,0.011863167,0.189030585
function(lower-guard-intrinsic),function(mldst-motion),24,24,0.085531490,0.025101004,0.185609356
function(loop(loop-predication)),function(expand-fp),24,24,0.085493764,0.013595846,0.269293583
function(tailcallelim),function(load-store-vectorizer),24,24,0.085470777,0.014521137,0.187992407
function(loop(evl-iv-simplify)),mergefunc,24,24,0.085460941,0.011302345,0.278454950
strip-nonlinetable-debuginfo,function(loop(loop-rotate)),24,24,0.085424455,0.011825586,0.189833491
function(typepromotion),function(load-store-vectorizer),24,24,0.085414753,0.014717180,0.192441286
function(assume-simplify),function(loop-load-elim),24,24,0.085408756,0.010483351,0.283229908
function(lower-matrix-intrinsics),function(lower-atomic),24,24,0.085400935,0.011172434,0.180055497
strip-debug-declare,function(simplifycfg),24,24,0.085397989,0.010016263,0.185609234
function(structurizecfg),function(gvn),24,24,0.085384314,0.010682517,0.182989295
function(loop(loop-unroll-full)),function(slp-vectorizer),24,24,0.085346665,0.013419866,0.207333242
function(div-rem-pairs),mergefunc,24,24,0.085340598,0.014032062,0.220789206
function(float2int),function(early-cse),24,24,0.085337094,0.013063411,0.212986596
function(callsite-splitting),function(make-guards-explicit),24,24,0.085308245,0.012148616,0.269440201
function(hardware-loops),function(loop(loop-unroll-full)),24,24,0.085240906,0.010893910,0.233011811
function(unreachableblockelim),function(loop-load-elim),24,24,0.085229585,0.017316737,0.238585451
function(loop-load-elim),function(replace-with-veclib),24,24,0.085204736,0.010796097,0.288491307
constmerge,function(mldst-motion),24,24,0.085187975,0.012823935,0.208588001
rewrite-symbols,function(loop(loop-unroll-full)),24,24,0.085178809,0.012190671,0.235833025
function(dse),function(mergeicmps),24,24,0.085113940,0.012179320,0.275207464
function(loop(loop-deletion)),function(nary-reassociate),24,24,0.085107745,0.010561991,0.236016746
function(fix-irreducible),function(loop-vectorize),24,24,0.085032952,0.013728194,0.205217390
hipstdpar-math-fixup,function(mldst-motion),24,24,0.085012234,0.013008906,0.234416851
function(safe-stack),function(sandbox-vectorizer),24,24,0.085012077,0.010195305,0.184204302
function(transform-warning),function(jump-threading),24,24,0.084983531,0.023795337,0.280587144
function(unreachableblockelim),function(interleaved-access),24,24,0.084983325,0.012140104,0.238414221
function(sandbox-vectorizer),function(interleaved-access),24,24,0.084922746,0.010460928,0.215274007
function(callbr-prepare),function(make-guards-explicit),24,24,0.084914080,0.016990777,0.219533949
function(gvn-sink),simplify-type-tests,24,24,0.084874405,0.012148755,0.258544001
strip-dead-cg-profile,function(slsr),24,24,0.084864599,0.010354243,0.214454405
module-inline,function(gvn),24,24,0.084861713,0.011120689,0.195704152
function(newgvn),function(move-auto-init),24,24,0.084845757,0.014683911,0.200059072
coro-cleanup,function(scalarizer),24,24,0.084840624,0.016253546,0.165449051
cgscc(function-attrs),function(jump-threading),24,24,0.084820760,0.018054449,0.254485776
function(annotation-remarks),function(speculative-execution),24,24,0.084795147,0.012485603,0.221400358
function(loop(loop-deletion)),function(loop(loop-rotate)),24,24,0.084739233,0.010535440,0.176193452
function(gc-lowering),function(newgvn),24,24,0.084734962,0.010202346,0.212658847
function(loop(loop-instsimplify)),function(safe-stack),24,24,0.084732488,0.010436485,0.246720583
function(expand-large-div-rem),function(slp-vectorizer),24,24,0.084710846,0.010797174,0.279186580
function(loop(loop-instsimplify)),function(win-eh-prepare),24,24,0.084710763,0.016689166,0.214576259
function(jump-threading),function(loop-load-elim),24,24,0.084684477,0.015982953,0.269226516
function(lower-switch),function(slsr),24,24,0.084644955,0.014664307,0.231739189
cgscc(inline),function(lower-atomic),24,24,0.084605622,0.013285026,0.243401045
function(mem2reg),function(lower-allow-check),24,24,0.084586124,0.012165483,0.183988125
function(atomic-expand),function(make-guards-explicit),24,24,0.084546513,0.013106155,0.204694496
function(place-safepoints),function(speculative-execution),24,24,0.084525454,0.015699458,0.188976397
assign-guid,function(loop-simplify),24,24,0.084524343,0.012896481,0.257977564
function(safe-stack),function(lower-atomic),24,24,0.084522013,0.010505267,0.213652654
noinline-nonprevailing,function(newgvn),24,24,0.084455413,0.011186238,0.187341916
function(memcpyopt),function(replace-with-veclib),24,24,0.084413268,0.014447867,0.252134191
scc-oz-module-inliner,function(prof-inject),24,24,0.084327183,0.016477033,0.179733035
elim-avail-extern,name-anon-globals,24,24,0.084279731,0.011303099,0.193123484
rel-lookup-table-converter,function(hardware-loops),24,24,0.084252595,0.013015145,0.196706001
elim-avail-extern,function(lower-widenable-condition),24,24,0.084208568,0.010774121,0.268875620
globaldce,function(make-guards-explicit),24,24,0.084187306,0.012543636,0.229938016
function(loop(loop-bound-split)),function(loop(indvars)),24,24,0.084169872,0.010500852,0.268567051
function(float2int),simplify-type-tests,24,24,0.084154651,0.010050941,0.346496879
globaldce,name-anon-globals,24,24,0.084143171,0.016463846,0.207909137
fatlto-cleanup,function(make-guards-explicit),24,24,0.084141067,0.012290768,0.265906218
function(adce),mergefunc,24,24,0.084125359,0.015971858,0.258000732
function(loop(loop-reduce)),function(slsr),24,24,0.084093128,0.011634279,0.227556913
function(expand-fp),function(structurizecfg),24,24,0.084065608,0.013001085,0.210530117
globalopt,function(prof-inject),24,24,0.084051227,0.016583226,0.210907558
function(loop(loop-bound-split)),function(safe-stack),24,24,0.084050996,0.010903339,0.274058958
jmc-instrumenter,function(structurizecfg),24,24,0.084047129,0.033772723,0.183444885
function(dce),mergefunc,24,24,0.084033313,0.015579263,0.222363076
inferattrs,function(loop-distribute),24,24,0.083997857,0.013934262,0.174452095
function(float2int),function(add-discriminators),24,24,0.083987221,0.011625921,0.229619769
lowertypetests,function(sink),24,24,0.083962727,0.011640522,0.251756394
function(correlated-propagation),function(prof-inject),24,24,0.083932576,0.014487036,0.218398238
function(sink),function(lower-matrix-intrinsics),24,24,0.083892524,0.012908785,0.204420750
function(div-rem-pairs),function(loop(evl-iv-simplify)),24,24,0.083869076,0.012645296,0.241377324
cgscc(argpromotion),function(slp-vectorizer),24,24,0.083859004,0.010405960,0.230334927
dxil-upgrade,function(nary-reassociate),24,24,0.083842618,0.013063711,0.237174582
rpo-function-attrs,function(lower-widenable-condition),24,24,0.083822860,0.010663603,0.281059958
function(loop(loop-simplifycfg)),function(simplifycfg),24,24,0.083818259,0.017434229,0.179208759
coro-early,function(lower-matrix-intrinsics),24,24,0.083794913,0.012591055,0.226464338
function(instcombine),function(slsr),24,24,0.083708087,0.010733931,0.212400973
function(strip-gc-relocates),function(slp-vectorizer),24,24,0.083651378,0.022426035,0.248958760
cgscc(inline),function(structurizecfg),24,24,0.083633776,0.023474164,0.219892281
inferattrs,function(assume-builder),24,24,0.083592555,0.017106640,0.246828100
function(sccp),function(loop-load-elim),24,24,0.083589480,0.010182549,0.299013056
function(slp-vectorizer),function(mldst-motion),24,24,0.083580816,0.010110300,0.206724368
function(wasm-eh-prepare),mergefunc,24,24,0.083579801,0.016970924,0.228200357
function(instsimplify),function(jump-threading),24,24,0.083521004,0.011573440,0.260523900
strip-nondebug,function(sandbox-vectorizer),24,24,0.083503895,0.013069140,0.270099275
function(sandbox-vectorizer),function(instcombine),24,24,0.083486426,0.011213451,0.203887278
hipstdpar-math-fixup,function(slsr),24,24,0.083463172,0.017239146,0.190866827
strip-dead-cg-profile,function(ee-instrument),24,24,0.083428826,0.010895948,0.211183840
function(hardware-loops),function(slp-vectorizer),24,24,0.083427733,0.017613748,0.260950332
function(jump-table-to-switch),function(add-discriminators),24,24,0.083367973,0.016580340,0.229115509
declare-runtime-libcalls,function(mergeicmps),24,24,0.083338281,0.016798101,0.194485987
function(slsr),function(kcfi),24,24,0.083297354,0.012233054,0.280375974
function(cfguard),function(mldst-motion),24,24,0.083280372,0.010282627,0.232776053
function(expand-fp),function(gvn),24,24,0.083276051,0.015910109,0.186883496
recompute-globalsaa,function(loop(simple-loop-unswitch)),24,24,0.083270697,0.015721255,0.214601857
cgscc(argpromotion),function(jump-threading),24,24,0.083244580,0.013295306,0.226941218
cgscc(inline),function(make-guards-explicit),24,24,0.083216390,0.010438797,0.284449993
function(interleaved-access),function(dse),24,24,0.083202505,0.014466559,0.282861392
cgscc(coro-annotation-elide),function(redundant-dbg-inst-elim),24,24,0.083189957,0.011118539,0.200101623
function(gvn-hoist),function(loop-data-prefetch),24,24,0.083161559,0.018312054,0.236928158
function(typepromotion),function(loop-load-elim),24,24,0.083080191,0.012453434,0.245245391
strip-dead-prototypes,function(add-discriminators),24,24,0.083068689,0.013791570,0.230814344
hotcoldsplit,function(make-guards-explicit),24,24,0.083061468,0.011460466,0.191405040
function(flatten-cfg),function(jump-threading),24,24,0.083043193,0.021367076,0.232772031
loop-extract,function(gvn),24,24,0.083029800,0.013179891,0.202838797
function(lower-matrix-intrinsics),function(newgvn),24,24,0.083018434,0.010363300,0.213623091
function(loop(canon-freeze)),function(lower-allow-check),24,24,0.082947424,0.015132363,0.177510725
function(nary-reassociate),function(sroa),24,24,0.082926224,0.018815660,0.243574390
globalsplit,function(sroa),24,24,0.082921667,0.015533780,0.215588302
name-anon-globals,function(loop-simplify),24,24,0.082915953,0.011652514,0.276936642
function(constraint-elimination),function(jump-threading),24,24,0.082909828,0.011415194,0.244832632
function(sandbox-vectorizer),function(kcfi),24,24,0.082905564,0.016152667,0.302084912
function(expand-fp),function(sandbox-vectorizer),24,24,0.082800382,0.010142453,0.179026798
function(gc-lowering),function(lower-atomic),24,24,0.082790004,0.012382543,0.216570632
function(gvn-hoist),function(place-safepoints),24,24,0.082786775,0.016277794,0.236153187
openmp-opt,function(mldst-motion),24,24,0.082772244,0.011797584,0.188281851
function(typepromotion),function(interleaved-access),24,24,0.082747520,0.010819419,0.246489775
function(dce),function(sandbox-vectorizer),24,24,0.082739638,0.011664232,0.208872308
recompute-globalsaa,function(prof-inject),24,24,0.082730763,0.010287855,0.211044529
function(early-cse),function(slsr),24,24,0.082720179,0.013240970,0.198672606
function(guard-widening),function(sjlj-eh-prepare),24,24,0.082675186,0.018574130,0.250228537
function(replace-with-veclib),function(replace-with-veclib),24,24,0.082633419,0.017999741,0.296669745
function(loop(canon-freeze)),function(sroa),24,24,0.082603579,0.011659389,0.228475028
lower-ifunc,function(loop-distribute),24,24,0.082593669,0.017112125,0.179799433
function(cfguard),function(speculative-execution),24,24,0.082572394,0.013980653,0.181020914
function(sink),function(slsr),24,24,0.082558332,0.017026803,0.237017854
function(loop-distribute),function(place-safepoints),24,24,0.082552233,0.020252263,0.274061467
function(partially-inline-libcalls),function(mergereturn),24,24,0.082531779,0.010073454,0.209403213
function(loop(loop-bound-split)),function(place-safepoints),24,24,0.082527114,0.010217364,0.279409471
function(place-safepoints),function(make-guards-explicit),24,24,0.082510785,0.012869628,0.213221691
cgscc(inline),function(win-eh-prepare),24,24,0.082483951,0.013944762,0.198946684
openmp-opt-postlink,function(interleaved-load-combine),24,24,0.082446924,0.010962863,0.182805186
function(simplifycfg),function(gvn),24,24,0.082425434,0.010280434,0.191651869
function(gvn-sink),function(mergereturn),24,24,0.082423069,0.010601398,0.235764668
function(loop(guard-widening)),function(sandbox-vectorizer),24,24,0.082394381,0.010079051,0.273002445
function(coro-elide),name-anon-globals,24,24,0.082360010,0.015747840,0.222379310
function(loop-vectorize),function(tailcallelim),24,24,0.082350547,0.013592333,0.221535573
function(hardware-loops),function(lower-atomic),24,24,0.082284581,0.010987821,0.192743346
function(sroa),function(gvn),24,24,0.082277840,0.017521096,0.179773762
function(lower-allow-check),function(loop(loop-simplifycfg)),24,24,0.082267011,0.013977399,0.248116855
function(lower-widenable-condition),function(lower-constant-intrinsics),24,24,0.082265967,0.026413537,0.327689196
function(loop(guard-widening)),mergefunc,24,24,0.082229798,0.014521173,0.250155106
function(inject-tli-mappings),function(early-cse),24,24,0.082223042,0.013901027,0.195285193
function(loop(indvars)),function(early-cse),24,24,0.082199793,0.011488261,0.211059902
function(dfa-jump-threading),function(loop-distribute),24,24,0.082196873,0.013728199,0.187826441
rpo-function-attrs,function(prof-inject),24,24,0.082183058,0.010611737,0.174166611
function(loop-load-elim),function(gvn),24,24,0.082176341,0.013440763,0.185963161
function(objc-arc-contract),function(unreachableblockelim),24,24,0.082145367,0.010697676,0.169986467
function(loop(loop-simplifycfg)),function(win-eh-prepare),24,24,0.082119434,0.011597731,0.209405856
function(loop-versioning),function(adce),24,24,0.082057393,0.014148378,0.257599395
function(stack-protector),function(gc-lowering),24,24,0.082026556,0.011859474,0.255882366
function(loop(loop-reduce)),function(loop(loop-rotate)),24,24,0.082016771,0.014083592,0.162603856
function(chr),function(jump-threading),24,24,0.081993658,0.011209095,0.210551604
function(gvn-hoist),function(win-eh-prepare),24,24,0.081978101,0.010068871,0.206634517
cgscc(inline),function(prof-inject),24,24,0.081935959,0.013379749,0.215611633
function(objc-arc-expand),function(loop-simplify),24,24,0.081841497,0.013387636,0.255252793
function(loop(loop-unroll-full)),function(nary-reassociate),24,24,0.081804515,0.015832823,0.222260308
function(loop(loop-instsimplify)),function(nary-reassociate),24,24,0.081753017,0.011407621,0.251294630
function(lcssa),function(gvn),24,24,0.081730337,0.010677683,0.212699686
function(objc-arc-expand),function(loop(loop-rotate)),24,24,0.081728666,0.012662034,0.210251972
function(prof-inject),function(slp-vectorizer),24,24,0.081638349,0.016545684,0.242868674
function(extra-vector-passes),function(sink),24,24,0.081591031,0.010332344,0.239619092
function(gvn),function(speculative-execution),24,24,0.081567763,0.011210063,0.184134648
declare-runtime-libcalls,function(assume-builder),24,24,0.081558273,0.013597541,0.187496248
hotcoldsplit,function(unreachableblockelim),24,24,0.081513847,0.010975996,0.218851377
function(objc-arc-contract),function(gvn),24,24,0.081503409,0.014180948,0.202235333
ipsccp,function(tailcallelim),24,24,0.081483724,0.011655145,0.238377282
strip,function(replace-with-veclib),24,24,0.081472229,0.011653697,0.267853880
function(fix-irreducible),function(lower-widenable-condition),24,24,0.081445929,0.013110781,0.222340712
function(loop(simple-loop-unswitch)),mergefunc,24,24,0.081414087,0.013696178,0.201632981
function(lower-constant-intrinsics),function(make-guards-explicit),24,24,0.081412521,0.010505130,0.226118523
function(slp-vectorizer),function(loop-distribute),24,24,0.081336171,0.011958976,0.257303812
function(loop(loop-predication)),function(mergereturn),24,24,0.081305493,0.016158919,0.292917355
function(gvn-hoist),function(prof-inject),24,24,0.081278567,0.013834126,0.187439349
attributor-light,function(loop-simplify),24,24,0.081263805,0.011757963,0.309747786
function(gvn-sink),function(replace-with-veclib),24,24,0.081233236,0.011689100,0.302748418
coro-early,function(make-guards-explicit),24,24,0.081211539,0.012055285,0.274290858
function(loop(loop-reduce)),function(loop-load-elim),24,24,0.081188228,0.011989046,0.252752652
jmc-instrumenter,function(speculative-execution),24,24,0.081185600,0.016551592,0.195285637
function(win-eh-prepare),function(mem2reg),24,24,0.081174514,0.010658069,0.256364290
pre-isel-intrinsic-lowering,function(jump-threading),24,24,0.081138764,0.010933763,0.307291364
function(loop(guard-widening)),function(early-cse),24,24,0.081132023,0.010368729,0.190906258
cgscc(openmp-opt-cgscc),function(speculative-execution),24,24,0.081099941,0.013990449,0.211725046
function(loop(loop-instsimplify)),function(lower-atomic),24,24,0.081090798,0.011690831,0.218665984
function(loop(simple-loop-unswitch)),function(nary-reassociate),24,24,0.081058978,0.013279738,0.227300162
strip-nondebug,function(loop-simplify),24,24,0.081047741,0.014701605,0.309920360
function(infer-alignment),function(make-guards-explicit),24,24,0.081041199,0.012801142,0.245426136
function(newgvn),function(mldst-motion),24,24,0.081033829,0.011121007,0.219708795
rpo-function-attrs,function(gvn),24,24,0.081025258,0.011829357,0.175957292
function(loop(canon-freeze)),function(speculative-execution),24,24,0.080990979,0.010115189,0.188894658
partial-inliner,function(assume-builder),24,24,0.080973622,0.014952107,0.212042917
function(aggressive-instcombine),function(speculative-execution),24,24,0.080969075,0.015185729,0.218908247
function(loop-vectorize),function(replace-with-veclib),24,24,0.080959745,0.010420959,0.226219177
function(sroa),function(slp-vectorizer),24,24,0.080942664,0.011473503,0.248397605
function(loop(loop-instsimplify)),function(mergereturn),24,24,0.080859657,0.011154590,0.303336843
function(expand-reductions),function(sjlj-eh-prepare),24,24,0.080803414,0.020680723,0.198921127
